numero de instancias: 500 
iteración: 92, distancia: 0.04592495545635212, clusters fusionados: 591:[123, 260], Silhouette Score: 0.19936048459876635
iteración: 93, distancia: 0.046097538652444627, clusters fusionados: 592:[165, 235], Silhouette Score: 0.2011465531712752
iteración: 94, distancia: 0.046370523447758716, clusters fusionados: 593:[589, 442], Silhouette Score: 0.2028730152301709
iteración: 95, distancia: 0.046541061240574305, clusters fusionados: 594:[54, 233], Silhouette Score: 0.20458232194707165
iteración: 96, distancia: 0.046727902789951974, clusters fusionados: 595:[236, 305], Silhouette Score: 0.20625814826139258
iteración: 97, distancia: 0.04762124821264443, clusters fusionados: 596:[520, 361], Silhouette Score: 0.20620484957517185
iteración: 98, distancia: 0.04874088828137594, clusters fusionados: 597:[197, 269], Silhouette Score: 0.20815670200685424
iteración: 99, distancia: 0.04910687385383465, clusters fusionados: 598:[76, 466], Silhouette Score: 0.21081738358954577
iteración: 100, distancia: 0.0498210124653596, clusters fusionados: 599:[152, 574], Silhouette Score: 0.21097037530757484
iteración: 101, distancia: 0.05072993148675965, clusters fusionados: 600:[307, 480], Silhouette Score: 0.21264725678677143
iteración: 102, distancia: 0.0508912701114142, clusters fusionados: 601:[38, 516], Silhouette Score: 0.2130171310256808
iteración: 103, distancia: 0.05093315692873242, clusters fusionados: 602:[158, 239], Silhouette Score: 0.21493058575353308
iteración: 104, distancia: 0.05095720950576905, clusters fusionados: 603:[500, 253], Silhouette Score: 0.21536279525208502
iteración: 105, distancia: 0.05095984187204002, clusters fusionados: 604:[215, 302], Silhouette Score: 0.21626555280138196
iteración: 106, distancia: 0.051148374264120076, clusters fusionados: 605:[61, 377], Silhouette Score: 0.21747213746417718
iteración: 107, distancia: 0.05197825937278326, clusters fusionados: 606:[99, 464], Silhouette Score: 0.21917051958427447
iteración: 108, distancia: 0.05271775992703454, clusters fusionados: 607:[226, 508], Silhouette Score: 0.2182129646677163
iteración: 109, distancia: 0.0527365269895848, clusters fusionados: 608:[23, 315], Silhouette Score: 0.21993767390706767
iteración: 110, distancia: 0.052812894995844836, clusters fusionados: 609:[536, 413], Silhouette Score: 0.21922109583867164
iteración: 111, distancia: 0.05336145675216866, clusters fusionados: 610:[314, 358], Silhouette Score: 0.22071467907443662
iteración: 112, distancia: 0.05386819604888, clusters fusionados: 611:[450, 491], Silhouette Score: 0.22377113856251468
iteración: 113, distancia: 0.05394264433096632, clusters fusionados: 612:[333, 418], Silhouette Score: 0.22542512043408697
iteración: 114, distancia: 0.054036636893122963, clusters fusionados: 613:[609, 541], Silhouette Score: 0.22724812406275297
iteración: 115, distancia: 0.05407145842448753, clusters fusionados: 614:[515, 204], Silhouette Score: 0.22830071777416636
iteración: 116, distancia: 0.05414276002789336, clusters fusionados: 615:[15, 547], Silhouette Score: 0.22923142254782722
iteración: 117, distancia: 0.05417520702411844, clusters fusionados: 616:[507, 46], Silhouette Score: 0.2293829966406337
iteración: 118, distancia: 0.05469964787097365, clusters fusionados: 617:[171, 470], Silhouette Score: 0.2309084430141715
iteración: 119, distancia: 0.05504602626549142, clusters fusionados: 618:[111, 280], Silhouette Score: 0.23257456872155377
iteración: 120, distancia: 0.05510501822771402, clusters fusionados: 619:[535, 476], Silhouette Score: 0.2345629934406583
iteración: 121, distancia: 0.055316154568737515, clusters fusionados: 620:[459, 498], Silhouette Score: 0.23609181347960198
iteración: 122, distancia: 0.05584100750226106, clusters fusionados: 621:[549, 431], Silhouette Score: 0.2368786259823149
iteración: 123, distancia: 0.05590801937628108, clusters fusionados: 622:[42, 301], Silhouette Score: 0.23744202850433146
iteración: 124, distancia: 0.05633548244873612, clusters fusionados: 623:[1, 417], Silhouette Score: 0.23954954709641885
iteración: 125, distancia: 0.05777548461962228, clusters fusionados: 624:[57, 121], Silhouette Score: 0.24115992986651053
iteración: 126, distancia: 0.058403515284698726, clusters fusionados: 625:[288, 313], Silhouette Score: 0.24341747463466293
iteración: 127, distancia: 0.058688709897392444, clusters fusionados: 626:[352, 469], Silhouette Score: 0.24575778815464205
iteración: 128, distancia: 0.05897712774525653, clusters fusionados: 627:[9, 397], Silhouette Score: 0.2469382465481439
iteración: 129, distancia: 0.059559688798456724, clusters fusionados: 628:[266, 494], Silhouette Score: 0.2490521942516559
iteración: 130, distancia: 0.05988481362171742, clusters fusionados: 629:[540, 390], Silhouette Score: 0.24963703662305936
iteración: 131, distancia: 0.06051600301702139, clusters fusionados: 630:[583, 166], Silhouette Score: 0.2520658162657008
iteración: 132, distancia: 0.060597949836298313, clusters fusionados: 631:[526, 281], Silhouette Score: 0.25224939958667686
iteración: 133, distancia: 0.060722307204802005, clusters fusionados: 632:[191, 381], Silhouette Score: 0.25501357130010105
